,CustomerID,Age,Gender,Country,Income,ProductQuality,ServiceQuality,PurchaseFrequency,FeedbackScore,LoyaltyLevel
0,1,56,Male,UK,83094,5,8,5,Low,Bronze
1,2,69,Male,UK,86860,10,2,8,Medium,Gold
2,3,46,Female,USA,60173,8,10,18,Medium,Silver
3,4,32,Female,UK,73884,7,10,16,Low,Gold
4,5,60,Male,UK,97546,6,4,13,Low,Bronze
5,6,25,Male,France,49364,5,7,19,High,Silver
6,7,38,Female,Germany,39716,10,6,11,High,Silver
7,8,56,Female,Germany,45305,10,10,10,Medium,Gold
8,9,36,Male,France,98001,10,2,12,High,Bronze
9,10,40,Female,UK,85307,6,4,20,High,Gold
10,11,28,Female,Canada,46732,9,3,3,High,Gold
11,12,28,Female,France,38742,8,6,13,Medium,Silver
12,13,41,Male,Germany,30028,8,6,20,Medium,Bronze
13,14,53,Female,USA,58353,6,8,17,Medium,Bronze
14,15,57,Female,Germany,75657,1,8,15,Medium,Silver
15,16,41,Female,Canada,59164,1,5,10,Medium,Silver
16,17,20,Female,Germany,73887,5,4,7,Medium,Silver
17,18,39,Female,France,63522,8,3,8,High,Gold
18,19,19,Male,USA,88593,5,9,8,High,Bronze
19,20,41,Female,Germany,37901,7,5,17,Low,Gold
20,21,61,Female,France,41595,2,4,11,High,Gold
21,22,47,Female,France,95043,7,2,5,High,Bronze
22,23,55,Female,France,42216,5,6,2,Medium,Gold
23,24,19,Male,USA,59536,10,5,7,High,Silver
24,25,38,Male,France,48184,3,2,2,Low,Gold
25,26,50,Male,USA,116529,1,5,18,Medium,Silver
26,27,29,Female,Canada,92619,9,8,15,Low,Gold
27,28,39,Female,Canada,102225,10,4,14,Low,Gold
28,29,61,Male,Canada,108541,7,1,1,Medium,Silver
29,30,42,Male,France,48768,8,8,16,High,Gold
30,31,66,Male,USA,95975,10,7,7,Medium,Bronze
31,32,44,Male,Canada,41604,10,9,11,Medium,Bronze
32,33,59,Male,UK,100739,4,8,18,Medium,Bronze
33,34,45,Male,Canada,119278,3,7,10,High,Gold
34,35,33,Female,France,112220,5,7,17,Low,Silver
35,36,32,Female,UK,113282,1,10,4,High,Bronze
36,37,64,Male,Germany,65286,6,1,7,Low,Silver
37,38,68,Female,UK,40530,1,6,17,High,Bronze
38,39,61,Female,Germany,34580,8,9,9,High,Bronze
39,40,69,Male,UK,75929,5,7,3,Low,Bronze
40,41,20,Male,USA,112595,10,5,13,Medium,Gold
41,42,54,Female,UK,37897,7,1,20,Low,Bronze
42,43,68,Female,Canada,87990,4,10,20,High,Bronze
43,44,24,Female,Germany,91060,5,6,5,Low,Silver
44,45,38,Male,Germany,110598,2,4,2,Medium,Silver
45,46,26,Female,Canada,40211,7,3,18,High,Silver
46,47,56,Male,USA,36990,9,5,7,Medium,Silver
47,48,35,Male,UK,55680,7,1,3,Low,Silver
48,49,21,Female,USA,54175,4,7,5,Low,Bronze
49,50,42,Male,Canada,111018,8,3,20,Medium,Gold
50,51,31,Male,UK,43211,6,6,11,High,Bronze
51,52,67,Male,Canada,114860,6,7,12,High,Bronze
52,53,26,Female,Germany,57358,3,4,19,High,Silver
53,54,43,Female,Germany,54191,2,7,18,Low,Gold
54,55,19,Female,Germany,99965,3,10,4,High,Gold
55,56,37,Male,France,114041,7,8,11,High,Silver
56,57,45,Female,France,70385,3,10,16,Low,Bronze
57,58,64,Male,Germany,55312,7,9,7,Low,Bronze
58,59,24,Female,France,99717,3,9,1,High,Silver
59,60,61,Male,France,116849,4,7,16,Medium,Silver
60,61,25,Female,Canada,39919,5,1,15,Low,Gold
61,62,64,Female,UK,108598,2,5,3,Medium,Gold
62,63,52,Male,Germany,81699,5,10,17,High,Gold
63,64,31,Male,France,56536,10,1,1,High,Gold
64,65,34,Female,Canada,70364,6,1,18,High,Gold
65,66,53,Female,Canada,99149,9,2,8,Low,Bronze
66,67,67,Male,UK,115925,10,3,18,High,Gold
67,68,57,Female,Canada,34262,4,9,18,High,Gold
68,69,21,Male,USA,64450,10,3,4,Medium,Silver
69,70,19,Male,USA,75486,5,4,20,Low,Silver
70,71,23,Male,Germany,91477,4,3,14,High,Silver
71,72,59,Male,UK,60308,5,2,6,High,Bronze
72,73,21,Male,USA,43257,1,4,4,Low,Silver
73,74,46,Male,UK,104318,8,10,9,Low,Bronze
74,75,35,Male,Germany,98548,9,9,10,Medium,Silver
75,76,43,Male,Canada,90145,3,6,3,Medium,Bronze
76,77,61,Male,Canada,64282,10,1,16,Medium,Bronze
77,78,51,Male,Canada,58514,3,6,17,Medium,Bronze
78,79,27,Male,USA,47155,9,5,1,High,Silver
79,80,53,Male,UK,95408,9,8,11,Low,Bronze
80,81,31,Male,USA,102144,7,9,2,Low,Silver
81,82,48,Male,France,84868,5,4,11,Low,Gold
82,83,65,Male,UK,56005,1,8,12,Low,Gold
83,84,32,Male,Germany,41451,9,8,1,Low,Gold
84,85,25,Female,USA,65875,6,4,11,Low,Gold
85,86,31,Female,Canada,118933,3,1,17,Low,Bronze
86,87,40,Male,Canada,115896,5,4,9,Medium,Silver
87,88,57,Female,Canada,98973,9,10,15,Medium,Silver
88,89,38,Female,USA,44838,1,7,16,High,Bronze
89,90,33,Female,USA,108700,10,3,1,Medium,Silver
90,91,62,Male,Canada,69885,1,6,14,Medium,Gold
91,92,35,Male,Canada,71049,10,2,7,High,Silver
92,93,64,Male,Canada,56243,4,10,6,Medium,Gold
93,94,41,Female,France,65122,6,7,18,Medium,Gold
94,95,43,Female,USA,52438,3,8,12,Low,Gold
95,96,42,Male,Canada,38297,3,9,6,High,Gold
96,97,62,Female,Germany,87011,4,1,10,Medium,Gold
97,98,58,Female,Canada,114170,1,9,13,Medium,Gold
98,99,46,Male,USA,51814,5,3,2,High,Gold
99,100,32,Female,Germany,48027,8,7,6,High,Gold
100,101,62,Female,USA,84302,6,6,17,Low,Bronze
101,102,18,Male,USA,73911,3,9,13,Low,Gold
102,103,42,Female,USA,42143,4,9,14,High,Gold
103,104,24,Male,UK,109502,5,4,11,Low,Gold
104,105,26,Male,Germany,78192,5,5,11,High,Silver
105,106,41,Male,France,92190,2,4,8,Medium,Gold
106,107,18,Male,France,79929,3,9,9,Low,Bronze
107,108,61,Male,UK,40839,10,5,8,Low,Gold
108,109,25,Male,USA,110206,8,9,2,Medium,Bronze
109,110,41,Male,France,87200,1,8,7,Medium,Bronze
110,111,28,Female,Germany,49631,4,2,19,Low,Gold
111,112,68,Male,Canada,112389,2,6,3,Medium,Bronze
112,113,34,Female,Germany,67911,9,7,6,Medium,Gold
113,114,25,Female,USA,35065,7,3,13,Medium,Silver
114,115,52,Male,Germany,72646,6,9,16,Medium,Gold
115,116,52,Female,USA,39540,4,4,20,High,Gold
116,117,50,Male,Germany,106576,1,4,10,High,Silver
117,118,22,Male,UK,68947,9,4,6,High,Silver
118,119,59,Male,Germany,114199,3,3,1,High,Silver
119,120,56,Male,France,96881,3,6,17,Low,Silver
120,121,58,Male,Canada,114907,6,9,14,Low,Gold
121,122,45,Male,UK,106990,6,6,17,High,Silver
122,123,24,Female,Germany,31196,4,2,3,Medium,Gold
123,124,26,Female,USA,93460,5,7,4,Low,Bronze
124,125,25,Female,UK,60328,5,8,1,Low,Silver
125,126,29,Female,France,91303,6,9,10,High,Gold
126,127,51,Female,Canada,52193,3,3,9,High,Silver
127,128,50,Male,Canada,72818,9,9,14,Low,Silver
128,129,65,Female,Germany,73862,7,6,13,Medium,Gold
129,130,40,Male,France,61460,4,10,8,Low,Bronze
130,131,41,Male,France,40368,3,7,8,Medium,Bronze
131,132,54,Male,Canada,95265,10,1,5,High,Bronze
132,133,52,Male,Canada,33910,7,9,16,Low,Silver
133,134,61,Male,France,112935,5,3,19,Medium,Bronze
134,135,57,Male,Canada,77042,2,2,8,Medium,Gold
135,136,39,Male,USA,115074,6,9,13,High,Silver
136,137,44,Female,Canada,51341,3,3,4,High,Gold
137,138,52,Male,USA,104888,7,7,20,Low,Bronze
138,139,18,Male,Canada,45970,10,3,15,Medium,Bronze
139,140,52,Female,UK,46546,5,2,12,Medium,Gold
140,141,54,Female,UK,60860,7,9,4,Low,Bronze
141,142,64,Male,UK,51145,4,3,17,High,Gold
142,143,31,Female,USA,67042,1,1,9,High,Silver
143,144,20,Male,USA,65992,1,9,20,Medium,Bronze
144,145,18,Male,Germany,103510,7,3,15,High,Bronze
145,146,22,Male,Germany,42746,9,4,7,Low,Silver
146,147,43,Male,Canada,101133,6,3,9,Low,Silver
147,148,31,Female,USA,61284,3,2,13,High,Gold
148,149,56,Female,UK,117613,9,9,9,Medium,Silver
